Category,Subcategory,User Words (Raw Input),Interpreted Intent,Enriched Prompt Language,Output Type,Model Route
UI,Futuristic Mobile,"futuristic ai app; cyber app; next gen","dark UI; neon accents; glass-like depth","Design a futuristic mobile app interface with dark surfaces neon highlights sleek cards and a high-tech visual system.",ui,Claude
UI,Wellness App,"calm wellness app; meditation app; self care","soft rounded UI; soothing hierarchy","Design a wellness mobile app using calming colors rounded components soft gradients and a restorative information hierarchy.",ui,Claude
UI,Fitness App,"fitness tracker; workout app; health app","energetic structure; performance clarity","Design a fitness mobile app with strong metrics hierarchy energetic accents bold calls to action and clear performance tracking modules.",ui,Claude
UI,Finance Dashboard,"finance app; investing dashboard; money tracker","data clarity; trust; premium seriousness","Design a finance mobile dashboard with strong information hierarchy trustworthy color usage clean charts and premium minimal controls.",ui,Claude
UI,Creator Tool,"content creator app; editing app; creative tool","expressive productivity UI","Design a creator-focused mobile interface with modular panels bold previews flexible controls and polished creative-tool styling.",ui,Claude
UI,Ecommerce,"shopping app; product browsing; store app","conversion-oriented retail UI","Design a mobile commerce interface with prominent product cards clean filters rich imagery space and streamlined purchase flows.",ui,Claude
UI,Travel Planner,"travel app; trip planner; itinerary","aspirational travel UI; structured discovery","Design a travel planning app with immersive destination imagery organized itinerary cards and clear exploratory navigation.",ui,Claude
UI,Social Community,"community app; social app; group app","engaging social layout; approachable energy","Design a social community mobile interface with content-first cards easy posting actions and an inviting human-centered visual rhythm.",ui,Claude
UI,Music Experience,"music app; listening app; playlist app","immersive media UI; strong mood","Design a music app interface with atmospheric visuals large artwork smooth hierarchy and emotionally resonant controls.",ui,Claude
UI,Productivity Tool,"task app; planner; productivity","clarity; order; efficiency","Design a productivity mobile interface with structured lists quiet surfaces focused accent color and a clear completion-driven layout.",ui,Claude
UI,Luxury Brand,"luxury app; premium brand; elevated","editorial minimalism; refined drama","Design a luxury mobile experience using elegant spacing serif-forward hierarchy restrained motion and premium dark-light balance.",ui,Claude
UI,Playful Consumer,"fun app; colorful app; playful brand","friendly high-energy interaction","Design a playful consumer mobile interface with rounded cards cheerful color pops approachable typography and delight-driven composition.",ui,Claude
UI,Dashboard Desktop,"dashboard; admin; analytics panel","dense information layout; modular cards","Design a modern analytics dashboard with modular panels clear chart hierarchy concise metrics and clean professional spacing.",ui,Claude
UI,Landing Page,"landing page; marketing page; homepage","storytelling layout; conversion focus","Design a polished landing page with strong hero hierarchy section rhythm persuasive CTAs and a bold but clean visual narrative.",ui,Claude
Photo,Editorial Fashion,"fashion editorial; cool editorial; magazine","high contrast fashion imagery; stylized direction","Curate a fashion editorial moodboard with high contrast lighting modern styling bold crops and premium magazine energy.",images,Gemini + Pexels + Unsplash
Photo,Wellness Moodboard,"wellness moodboard; calming imagery; retreat vibes","soft health lifestyle imagery","Curate a wellness image set with airy light calming rituals natural textures and elevated self-care photography.",images,Gemini + Pexels + Unsplash
Photo,Travel Inspiration,"travel inspiration; dream trip; wanderlust","destination-rich aspirational travel imagery","Curate a travel moodboard with immersive landscapes city moments transit details and cinematic destination storytelling.",images,Gemini + Pexels + Unsplash
Photo,Interior Inspiration,"interior inspo; home moodboard; design references","space-focused interior photography","Curate an interior design image set with strong composition material contrast architectural details and cohesive room atmosphere.",images,Gemini + Pexels + Unsplash
Photo,Food Direction,"food shoot; recipe images; restaurant vibe","editorial food imagery; appetite and styling","Curate a food moodboard with styled plating ingredient details moody surfaces and varied culinary compositions.",images,Gemini + Pexels + Unsplash
Photo,Brand Texture,"texture references; material moodboard; surfaces","close material shots; tactile visual system","Curate a texture and material moodboard with paper stone glass fabric grain and tactile close-up compositions.",images,Gemini + Pexels + Unsplash
Photo,Tech Future,"ai visuals; futuristic tech imagery; startup lab","innovative high-tech image direction","Curate a futuristic tech image set with luminous interfaces robotics hardware details lab environments and cinematic depth.",images,Gemini + Pexels + Unsplash
Photo,Street Culture,"street style; urban culture; city energy","dynamic urban imagery; candid movement","Curate an urban culture moodboard with street portraits signage architecture nightlife and documentary-style city scenes.",images,Gemini + Pexels + Unsplash
Photo,Nature Atmosphere,"misty forest; coastal cliffs; quiet nature","atmospheric landscape imagery","Curate a nature moodboard with atmospheric weather layered landscapes natural texture and cinematic environmental framing.",images,Gemini + Pexels + Unsplash
Photo,Luxury Product,"luxury product references; premium campaign","high-end product photography direction","Curate a luxury product image set with controlled lighting tactile materials premium staging and editorial brand polish.",images,Gemini + Pexels + Unsplash
Photo,Creative Collage,"experimental image board; mixed media; surreal","art-forward visual mashup","Curate an experimental collage direction with surreal compositions mixed media energy unexpected framing and bold visual contrast.",images,Gemini + Pexels + Unsplash
Photo,Event Energy,"concert vibe; festival mood; crowd energy","live-event imagery; motion and emotion","Curate an event moodboard with stage lighting crowd moments motion blur and emotionally charged documentary photography.",images,Gemini + Pexels + Unsplash
Photo,Portrait Direction,"portrait inspo; face-focused shoot; beauty references","human-centered portrait styling","Curate a portrait image set with expressive faces varied lighting close crops and strong emotional range.",images,Gemini + Pexels + Unsplash
Photo,Brand Campaign,"campaign references; ad images; brand shoot","commercial image system; cohesive narrative","Curate a commercial campaign moodboard with consistent styling high-production visuals lifestyle scenes and clear brand storytelling.",images,Gemini + Pexels + Unsplash
Photo,Workspace Inspiration,"desk setup; work vibes; startup workspace","productive modern environment imagery","Curate a workspace moodboard with desks laptops paper details human moments and polished modern work scenes.",images,Gemini + Pexels + Unsplash
Motion,Microinteraction,"smooth animation; subtle motion; polished transition","lightweight interface motion design","Design subtle interface motion concepts with refined easing responsive transitions and clarity-enhancing movement.",motion,Claude
Typography,Editorial Serif,"editorial typography; luxury type; fashion text","high-contrast serif system; elegant hierarchy","Create a typography direction centered on expressive editorial serif pairings refined hierarchy and premium negative space.",typography,Claude
Brand,Core Identity,"brand world; visual identity; brand system","holistic brand language","Generate a brand direction that aligns color typography imagery and interface cues into one cohesive visual identity system.",brand,Claude
